name,varlab
DayDeaMeRaLANL20201202,Daily deaths mean raw LANL
DayDeaMeSmLANL20201202,Daily deaths mean smooth LANL
DayDeaMeFoLANL20201202,Daily deaths mean smooth forecast only LANL
update_date20201202,update date
DayDeaMeRaLANL20201206,Daily deaths mean raw LANL
DayDeaMeSmLANL20201206,Daily deaths mean smooth LANL
DayDeaMeFoLANL20201206,Daily deaths mean smooth forecast only LANL
update_date20201206,update date
DayDeaMeRaLANL20201209,Daily deaths mean raw LANL
DayDeaMeSmLANL20201209,Daily deaths mean smooth LANL
DayDeaMeFoLANL20201209,Daily deaths mean smooth forecast only LANL
update_date20201209,update date
DayDeaMeRaLANL20201213,Daily deaths mean raw LANL
DayDeaMeSmLANL20201213,Daily deaths mean smooth LANL
DayDeaMeFoLANL20201213,Daily deaths mean smooth forecast only LANL
update_date20201213,update date
DayDeaMeRaLANL20201216,Daily deaths mean raw LANL
DayDeaMeSmLANL20201216,Daily deaths mean smooth LANL
DayDeaMeFoLANL20201216,Daily deaths mean smooth forecast only LANL
update_date20201216,update date
DayDeaMeRaLANL20201220,Daily deaths mean raw LANL
DayDeaMeSmLANL20201220,Daily deaths mean smooth LANL
DayDeaMeFoLANL20201220,Daily deaths mean smooth forecast only LANL
update_date20201220,update date
DayDeaMeRaLANL20201223,Daily deaths mean raw LANL
DayDeaMeSmLANL20201223,Daily deaths mean smooth LANL
DayDeaMeFoLANL20201223,Daily deaths mean smooth forecast only LANL
update_date20201223,update date
DayDeaMeRaLANL20210103,Daily deaths mean raw LANL
DayDeaMeSmLANL20210103,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210103,Daily deaths mean smooth forecast only LANL
update_date20210103,update date
DayDeaMeRaLANL20210105,Daily deaths mean raw LANL
DayDeaMeSmLANL20210105,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210105,Daily deaths mean smooth forecast only LANL
update_date20210105,update date
DayDeaMeRaLANL20210110,Daily deaths mean raw LANL
DayDeaMeSmLANL20210110,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210110,Daily deaths mean smooth forecast only LANL
update_date20210110,update date
DayDeaMeRaLANL20210113,Daily deaths mean raw LANL
DayDeaMeSmLANL20210113,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210113,Daily deaths mean smooth forecast only LANL
update_date20210113,update date
DayDeaMeRaLANL20210117,Daily deaths mean raw LANL
DayDeaMeSmLANL20210117,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210117,Daily deaths mean smooth forecast only LANL
update_date20210117,update date
DayDeaMeRaLANL20210120,Daily deaths mean raw LANL
DayDeaMeSmLANL20210120,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210120,Daily deaths mean smooth forecast only LANL
update_date20210120,update date
DayDeaMeRaLANL20210124,Daily deaths mean raw LANL
DayDeaMeSmLANL20210124,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210124,Daily deaths mean smooth forecast only LANL
update_date20210124,update date
DayDeaMeRaLANL20210127,Daily deaths mean raw LANL
DayDeaMeSmLANL20210127,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210127,Daily deaths mean smooth forecast only LANL
update_date20210127,update date
DayDeaMeRaLANL20210131,Daily deaths mean raw LANL
DayDeaMeSmLANL20210131,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210131,Daily deaths mean smooth forecast only LANL
update_date20210131,update date
DayDeaMeRaLANL20210203,Daily deaths mean raw LANL
DayDeaMeSmLANL20210203,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210203,Daily deaths mean smooth forecast only LANL
update_date20210203,update date
DayDeaMeRaLANL20210207,Daily deaths mean raw LANL
DayDeaMeSmLANL20210207,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210207,Daily deaths mean smooth forecast only LANL
update_date20210207,update date
DayDeaMeRaLANL20210210,Daily deaths mean raw LANL
DayDeaMeSmLANL20210210,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210210,Daily deaths mean smooth forecast only LANL
update_date20210210,update date
DayDeaMeRaLANL20210214,Daily deaths mean raw LANL
DayDeaMeSmLANL20210214,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210214,Daily deaths mean smooth forecast only LANL
update_date20210214,update date
DayDeaMeRaLANL20210217,Daily deaths mean raw LANL
DayDeaMeSmLANL20210217,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210217,Daily deaths mean smooth forecast only LANL
update_date20210217,update date
DayDeaMeRaLANL20210221,Daily deaths mean raw LANL
DayDeaMeSmLANL20210221,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210221,Daily deaths mean smooth forecast only LANL
update_date20210221,update date
DayDeaMeRaLANL20210224,Daily deaths mean raw LANL
DayDeaMeSmLANL20210224,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210224,Daily deaths mean smooth forecast only LANL
update_date20210224,update date
DayDeaMeRaLANL20210228,Daily deaths mean raw LANL
DayDeaMeSmLANL20210228,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210228,Daily deaths mean smooth forecast only LANL
update_date20210228,update date
DayDeaMeRaLANL20210303,Daily deaths mean raw LANL
DayDeaMeSmLANL20210303,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210303,Daily deaths mean smooth forecast only LANL
update_date20210303,update date
DayDeaMeRaLANL20210307,Daily deaths mean raw LANL
DayDeaMeSmLANL20210307,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210307,Daily deaths mean smooth forecast only LANL
update_date20210307,update date
DayDeaMeRaLANL20210310,Daily deaths mean raw LANL
DayDeaMeSmLANL20210310,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210310,Daily deaths mean smooth forecast only LANL
update_date20210310,update date
DayDeaMeRaLANL20210314,Daily deaths mean raw LANL
DayDeaMeSmLANL20210314,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210314,Daily deaths mean smooth forecast only LANL
update_date20210314,update date
DayDeaMeRaLANL20210321,Daily deaths mean raw LANL
DayDeaMeSmLANL20210321,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210321,Daily deaths mean smooth forecast only LANL
update_date20210321,update date
DayDeaMeRaLANL20210324,Daily deaths mean raw LANL
DayDeaMeSmLANL20210324,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210324,Daily deaths mean smooth forecast only LANL
update_date20210324,update date
DayDeaMeRaLANL20210328,Daily deaths mean raw LANL
DayDeaMeSmLANL20210328,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210328,Daily deaths mean smooth forecast only LANL
update_date20210328,update date
DayDeaMeRaLANL20210331,Daily deaths mean raw LANL
DayDeaMeSmLANL20210331,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210331,Daily deaths mean smooth forecast only LANL
update_date20210331,update date
DayDeaMeRaLANL20210404,Daily deaths mean raw LANL
DayDeaMeSmLANL20210404,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210404,Daily deaths mean smooth forecast only LANL
update_date20210404,update date
DayDeaMeRaLANL20210407,Daily deaths mean raw LANL
DayDeaMeSmLANL20210407,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210407,Daily deaths mean smooth forecast only LANL
update_date20210407,update date
DayDeaMeRaLANL20210411,Daily deaths mean raw LANL
DayDeaMeSmLANL20210411,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210411,Daily deaths mean smooth forecast only LANL
update_date20210411,update date
DayDeaMeRaLANL20210414,Daily deaths mean raw LANL
DayDeaMeSmLANL20210414,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210414,Daily deaths mean smooth forecast only LANL
update_date20210414,update date
DayDeaMeRaLANL20210418,Daily deaths mean raw LANL
DayDeaMeSmLANL20210418,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210418,Daily deaths mean smooth forecast only LANL
update_date20210418,update date
DayDeaMeRaLANL20210421,Daily deaths mean raw LANL
DayDeaMeSmLANL20210421,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210421,Daily deaths mean smooth forecast only LANL
update_date20210421,update date
DayDeaMeRaLANL20210425,Daily deaths mean raw LANL
DayDeaMeSmLANL20210425,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210425,Daily deaths mean smooth forecast only LANL
update_date20210425,update date
DayDeaMeRaLANL20210428,Daily deaths mean raw LANL
DayDeaMeSmLANL20210428,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210428,Daily deaths mean smooth forecast only LANL
update_date20210428,update date
DayDeaMeRaLANL20210502,Daily deaths mean raw LANL
DayDeaMeSmLANL20210502,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210502,Daily deaths mean smooth forecast only LANL
update_date20210502,update date
DayDeaMeRaLANL20210505,Daily deaths mean raw LANL
DayDeaMeSmLANL20210505,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210505,Daily deaths mean smooth forecast only LANL
update_date20210505,update date
DayDeaMeRaLANL20210509,Daily deaths mean raw LANL
DayDeaMeSmLANL20210509,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210509,Daily deaths mean smooth forecast only LANL
update_date20210509,update date
DayDeaMeRaLANL20210512,Daily deaths mean raw LANL
DayDeaMeSmLANL20210512,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210512,Daily deaths mean smooth forecast only LANL
update_date20210512,update date
DayDeaMeRaLANL20210516,Daily deaths mean raw LANL
DayDeaMeSmLANL20210516,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210516,Daily deaths mean smooth forecast only LANL
update_date20210516,update date
DayDeaMeRaLANL20210519,Daily deaths mean raw LANL
DayDeaMeSmLANL20210519,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210519,Daily deaths mean smooth forecast only LANL
update_date20210519,update date
DayDeaMeRaLANL20210523,Daily deaths mean raw LANL
DayDeaMeSmLANL20210523,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210523,Daily deaths mean smooth forecast only LANL
update_date20210523,update date
DayDeaMeRaLANL20210526,Daily deaths mean raw LANL
DayDeaMeSmLANL20210526,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210526,Daily deaths mean smooth forecast only LANL
update_date20210526,update date
DayDeaMeRaLANL20210602,Daily deaths mean raw LANL
DayDeaMeSmLANL20210602,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210602,Daily deaths mean smooth forecast only LANL
update_date20210602,update date
DayDeaMeRaLANL20210606,Daily deaths mean raw LANL
DayDeaMeSmLANL20210606,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210606,Daily deaths mean smooth forecast only LANL
update_date20210606,update date
DayDeaMeRaLANL20210613,Daily deaths mean raw LANL
DayDeaMeSmLANL20210613,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210613,Daily deaths mean smooth forecast only LANL
update_date20210613,update date
DayDeaMeRaLANL20210620,Daily deaths mean raw LANL
DayDeaMeSmLANL20210620,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210620,Daily deaths mean smooth forecast only LANL
update_date20210620,update date
DayDeaMeRaLANL20210627,Daily deaths mean raw LANL
DayDeaMeSmLANL20210627,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210627,Daily deaths mean smooth forecast only LANL
update_date20210627,update date
DayDeaMeRaLANL20210704,Daily deaths mean raw LANL
DayDeaMeSmLANL20210704,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210704,Daily deaths mean smooth forecast only LANL
update_date20210704,update date
DayDeaMeRaLANL20210711,Daily deaths mean raw LANL
DayDeaMeSmLANL20210711,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210711,Daily deaths mean smooth forecast only LANL
update_date20210711,update date
DayDeaMeRaLANL20210718,Daily deaths mean raw LANL
DayDeaMeSmLANL20210718,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210718,Daily deaths mean smooth forecast only LANL
update_date20210718,update date
DayDeaMeRaLANL20210725,Daily deaths mean raw LANL
DayDeaMeSmLANL20210725,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210725,Daily deaths mean smooth forecast only LANL
update_date20210725,update date
DayDeaMeRaLANL20210801,Daily deaths mean raw LANL
DayDeaMeSmLANL20210801,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210801,Daily deaths mean smooth forecast only LANL
update_date20210801,update date
DayDeaMeRaLANL20210808,Daily deaths mean raw LANL
DayDeaMeSmLANL20210808,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210808,Daily deaths mean smooth forecast only LANL
update_date20210808,update date
DayDeaMeRaLANL20210815,Daily deaths mean raw LANL
DayDeaMeSmLANL20210815,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210815,Daily deaths mean smooth forecast only LANL
update_date20210815,update date
DayDeaMeRaLANL20210822,Daily deaths mean raw LANL
DayDeaMeSmLANL20210822,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210822,Daily deaths mean smooth forecast only LANL
update_date20210822,update date
DayDeaMeRaLANL20210829,Daily deaths mean raw LANL
DayDeaMeSmLANL20210829,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210829,Daily deaths mean smooth forecast only LANL
update_date20210829,update date
DayDeaMeRaLANL20210905,Daily deaths mean raw LANL
DayDeaMeSmLANL20210905,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210905,Daily deaths mean smooth forecast only LANL
update_date20210905,update date
DayDeaMeRaLANL20210912,Daily deaths mean raw LANL
DayDeaMeSmLANL20210912,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210912,Daily deaths mean smooth forecast only LANL
update_date20210912,update date
DayDeaMeRaLANL20210919,Daily deaths mean raw LANL
DayDeaMeSmLANL20210919,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210919,Daily deaths mean smooth forecast only LANL
update_date20210919,update date
DayDeaMeSmJOHNCMR,Daily deaths smooth mean JOHN CMR
