name,varlab
DayDeaMeSmIMPE20201110,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20201110,Daily deaths mean smooth forecast only IMPE
update_date20201110,update date
DayDeaMeRaIMPE20201114,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20201114,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20201114,Daily deaths mean smooth forecast only IMPE
update_date20201114,update date
DayDeaMeRaIMPE20201118,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20201118,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20201118,Daily deaths mean smooth forecast only IMPE
update_date20201118,update date
DayDeaMeRaIMPE20201123,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20201123,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20201123,Daily deaths mean smooth forecast only IMPE
update_date20201123,update date
DayDeaMeRaIMPE20201129,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20201129,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20201129,Daily deaths mean smooth forecast only IMPE
update_date20201129,update date
DayDeaMeRaIMPE20201204,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20201204,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20201204,Daily deaths mean smooth forecast only IMPE
update_date20201204,update date
DayDeaMeRaIMPE20201212,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20201212,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20201212,Daily deaths mean smooth forecast only IMPE
update_date20201212,update date
DayDeaMeRaIMPE20201220,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20201220,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20201220,Daily deaths mean smooth forecast only IMPE
update_date20201220,update date
DayDeaMeRaIMPE20201226,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20201226,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20201226,Daily deaths mean smooth forecast only IMPE
update_date20201226,update date
DayDeaMeRaIMPE20210104,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20210104,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20210104,Daily deaths mean smooth forecast only IMPE
update_date20210104,update date
DayDeaMeRaIMPE20210110,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20210110,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20210110,Daily deaths mean smooth forecast only IMPE
update_date20210110,update date
DayDeaMeRaIMPE20210112,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20210112,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20210112,Daily deaths mean smooth forecast only IMPE
update_date20210112,update date
DayDeaMeRaIMPE20210118,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20210118,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20210118,Daily deaths mean smooth forecast only IMPE
update_date20210118,update date
DayDeaMeRaIMPE20210124,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20210124,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20210124,Daily deaths mean smooth forecast only IMPE
update_date20210124,update date
DayDeaMeRaIMPE20210130,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20210130,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20210130,Daily deaths mean smooth forecast only IMPE
update_date20210130,update date
DayDeaMeRaIMPE20210203,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20210203,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20210203,Daily deaths mean smooth forecast only IMPE
update_date20210203,update date
DayDeaMeRaIMPE20210210,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20210210,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20210210,Daily deaths mean smooth forecast only IMPE
update_date20210210,update date
DayDeaMeRaIMPE20210217,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20210217,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20210217,Daily deaths mean smooth forecast only IMPE
update_date20210217,update date
DayDeaMeRaIMPE20210226,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20210226,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20210226,Daily deaths mean smooth forecast only IMPE
update_date20210226,update date
DayDeaMeRaIMPE20210305,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20210305,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20210305,Daily deaths mean smooth forecast only IMPE
update_date20210305,update date
DayDeaMeRaIMPE20210312,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20210312,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20210312,Daily deaths mean smooth forecast only IMPE
update_date20210312,update date
DayDeaMeRaIMPE20210319,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20210319,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20210319,Daily deaths mean smooth forecast only IMPE
update_date20210319,update date
DayDeaMeRaIMPE20210329,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20210329,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20210329,Daily deaths mean smooth forecast only IMPE
update_date20210329,update date
DayDeaMeRaIMPE20210406,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20210406,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20210406,Daily deaths mean smooth forecast only IMPE
update_date20210406,update date
DayDeaMeRaIMPE20210417,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20210417,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20210417,Daily deaths mean smooth forecast only IMPE
update_date20210417,update date
DayDeaMeRaIMPE20210424,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20210424,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20210424,Daily deaths mean smooth forecast only IMPE
update_date20210424,update date
DayDeaMeRaIMPE20210510,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20210510,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20210510,Daily deaths mean smooth forecast only IMPE
update_date20210510,update date
DayDeaMeRaIMPE20210516,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20210516,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20210516,Daily deaths mean smooth forecast only IMPE
update_date20210516,update date
DayDeaMeRaIMPE20210522,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20210522,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20210522,Daily deaths mean smooth forecast only IMPE
update_date20210522,update date
DayDeaMeRaIMPE20210527,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20210527,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20210527,Daily deaths mean smooth forecast only IMPE
update_date20210527,update date
DayDeaMeRaIMPE20210604,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20210604,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20210604,Daily deaths mean smooth forecast only IMPE
update_date20210604,update date
DayDeaMeRaIMPE20210611,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20210611,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20210611,Daily deaths mean smooth forecast only IMPE
update_date20210611,update date
DayDeaMeRaIMPE20210618,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20210618,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20210618,Daily deaths mean smooth forecast only IMPE
update_date20210618,update date
DayDeaMeRaIMPE20210626,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20210626,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20210626,Daily deaths mean smooth forecast only IMPE
update_date20210626,update date
DayDeaMeRaIMPE20210702,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20210702,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20210702,Daily deaths mean smooth forecast only IMPE
update_date20210702,update date
DayDeaMeRaIMPE20210709,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20210709,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20210709,Daily deaths mean smooth forecast only IMPE
update_date20210709,update date
DayDeaMeRaIMPE20210719,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20210719,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20210719,Daily deaths mean smooth forecast only IMPE
update_date20210719,update date
DayDeaMeRaIMPE20210806,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20210806,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20210806,Daily deaths mean smooth forecast only IMPE
update_date20210806,update date
DayDeaMeRaIMPE20210819,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20210819,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20210819,Daily deaths mean smooth forecast only IMPE
update_date20210819,update date
DayDeaMeRaIMPE20210825,Daily deaths mean raw IMPE
